,Reason for Absence,Date,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,26,07/07/2015,289,36,239.554,30,1,2,1,4
1,0,14/07/2015,118,13,239.554,31,1,1,0,0
2,23,15/07/2015,179,51,239.554,31,1,0,0,2
3,7,16/07/2015,279,5,239.554,24,1,2,0,4
4,23,23/07/2015,289,36,239.554,30,1,2,1,2
5,23,10/07/2015,179,51,239.554,31,1,0,0,2
6,22,17/07/2015,361,52,239.554,27,1,1,4,8
7,23,24/07/2015,260,50,239.554,23,1,4,0,4
8,19,06/07/2015,155,12,239.554,25,1,2,0,40
9,22,13/07/2015,235,11,239.554,29,3,1,1,8
10,1,20/07/2015,260,50,239.554,23,1,4,0,8
11,1,14/07/2015,260,50,239.554,23,1,4,0,8
12,11,15/07/2015,260,50,239.554,23,1,4,0,8
13,11,15/07/2015,179,51,239.554,31,1,0,0,1
14,23,15/07/2015,179,51,239.554,31,1,0,0,4
15,14,17/07/2015,246,25,239.554,23,1,0,0,8
16,23,17/07/2015,179,51,239.554,31,1,0,0,2
17,21,27/07/2015,179,51,239.554,31,1,0,0,8
18,11,30/07/2015,189,29,239.554,25,1,2,2,8
19,23,05/08/2015,248,25,205.917,32,1,2,1,2
20,10,12/08/2015,330,16,205.917,25,2,0,0,8
21,11,03/08/2015,179,51,205.917,31,1,0,0,1
22,13,10/08/2015,361,52,205.917,27,1,1,4,40
23,28,14/08/2015,260,50,205.917,23,1,4,0,4
24,18,17/08/2015,289,36,205.917,30,1,2,1,8
25,25,24/08/2015,361,52,205.917,27,1,1,4,7
26,23,04/08/2015,289,36,205.917,30,1,2,1,1
27,28,12/08/2015,157,27,205.917,22,1,0,0,4
28,18,19/08/2015,289,36,205.917,30,1,2,1,8
29,23,28/08/2015,179,51,205.917,31,1,0,0,2
30,18,17/08/2015,179,51,205.917,31,1,0,0,8
31,18,27/08/2015,235,29,205.917,33,1,1,5,8
32,23,27/08/2015,235,11,205.917,29,3,1,1,4
33,18,17/08/2015,235,29,205.917,33,1,1,5,8
34,23,17/08/2015,179,51,205.917,31,1,0,0,2
35,23,17/08/2015,361,52,205.917,27,1,1,4,1
36,24,04/08/2015,289,36,205.917,30,1,2,1,8
37,11,20/08/2015,291,50,205.917,23,1,0,0,4
38,28,21/08/2015,235,29,205.917,33,1,1,5,8
39,23,28/08/2015,260,50,205.917,23,1,4,0,4
40,23,01/09/2015,184,42,241.476,21,1,0,0,2
41,23,07/09/2015,118,10,241.476,28,1,0,0,4
42,23,01/09/2015,179,51,241.476,31,1,0,0,4
43,19,08/09/2015,235,20,241.476,38,1,1,0,8
44,23,09/09/2015,155,12,241.476,25,1,2,0,2
45,23,13/09/2015,118,10,241.476,28,1,0,0,3
46,23,14/09/2015,179,51,241.476,31,1,0,0,3
47,23,24/09/2015,291,31,241.476,25,1,1,1,4
48,22,04/09/2015,260,50,241.476,23,1,4,0,8
49,14,14/09/2015,291,31,241.476,25,1,1,1,32
50,0,21/09/2015,260,50,241.476,23,1,4,0,0
51,0,28/09/2015,225,26,241.476,24,1,1,2,0
52,23,08/09/2015,225,26,241.476,24,1,1,2,2
53,23,15/09/2015,118,10,241.476,28,1,0,0,2
54,0,22/09/2015,289,36,241.476,30,1,2,1,0
55,0,29/09/2015,118,13,241.476,31,1,1,0,0
56,18,16/09/2015,225,26,241.476,24,1,1,2,3
57,23,23/09/2015,179,51,241.476,31,1,0,0,3
58,0,30/09/2015,369,17,241.476,25,1,3,0,0
59,23,11/09/2015,248,25,241.476,32,1,2,1,1
60,23,18/09/2015,179,51,241.476,31,1,0,0,3
61,23,25/09/2015,260,50,241.476,23,1,4,0,4
62,23,06/10/2015,179,51,253.465,31,1,0,0,3
63,23,13/10/2015,118,10,253.465,28,1,0,0,3
64,0,14/10/2015,118,13,253.465,31,1,1,0,0
65,23,15/10/2015,179,26,253.465,19,3,0,0,1
66,23,16/10/2015,179,51,253.465,31,1,0,0,3
67,23,16/10/2015,225,26,253.465,24,1,1,2,3
68,23,06/10/2015,118,10,253.465,28,1,0,0,3
69,23,14/10/2015,225,26,253.465,24,1,1,2,2
70,23,21/10/2015,248,25,253.465,32,1,2,1,2
71,23,22/10/2015,291,31,253.465,25,1,1,1,5
72,23,21/10/2015,179,51,253.465,31,1,0,0,8
73,23,21/10/2015,225,26,253.465,24,1,1,2,3
74,19,22/10/2015,260,50,253.465,23,1,4,0,16
75,14,13/10/2015,291,31,253.465,25,1,1,1,8
76,28,20/10/2015,225,26,253.465,24,1,1,2,2
77,26,21/10/2015,289,36,253.465,30,1,2,1,8
78,23,23/10/2015,361,52,253.465,27,1,1,4,1
79,28,30/10/2015,260,50,253.465,23,1,4,0,3
80,23,05/11/2015,179,51,306.345,31,1,0,0,1
81,23,04/11/2015,225,26,306.345,24,1,1,2,1
82,13,05/11/2015,179,51,306.345,31,1,0,0,8
83,21,12/11/2015,179,22,306.345,22,2,2,0,8
84,23,19/11/2015,291,31,306.345,25,1,1,1,5
85,10,02/11/2015,155,12,306.345,25,1,2,0,32
86,22,09/11/2015,189,29,306.345,25,1,2,2,8
87,14,16/11/2015,291,31,306.345,25,1,1,1,40
88,23,18/11/2015,225,26,306.345,24,1,1,2,1
89,6,20/11/2015,155,12,306.345,25,1,2,0,8
90,23,18/11/2015,225,26,306.345,24,1,1,2,3
91,21,25/11/2015,179,22,306.345,22,2,2,0,8
92,13,20/11/2015,225,26,306.345,24,1,1,2,3
93,28,27/11/2015,260,50,306.345,23,1,4,0,4
94,28,02/11/2015,248,25,306.345,32,1,2,1,1
95,28,10/11/2015,225,26,306.345,24,1,1,2,3
96,7,11/11/2015,289,36,306.345,30,1,2,1,24
97,23,26/11/2015,291,31,306.345,25,1,1,1,3
98,23,01/12/2015,248,25,261.306,32,1,2,1,1
99,19,01/12/2015,118,10,261.306,28,1,0,0,64
100,23,02/12/2015,118,13,261.306,31,1,1,0,2
101,26,02/12/2015,235,11,261.306,29,3,1,1,8
102,23,03/12/2015,225,26,261.306,24,1,1,2,2
103,26,04/12/2015,260,50,261.306,23,1,4,0,8
104,19,08/12/2015,118,10,261.306,28,1,0,0,56
105,22,09/12/2015,361,52,261.306,27,1,1,4,8
106,28,10/12/2015,225,26,261.306,24,1,1,2,3
107,28,11/12/2015,260,50,261.306,23,1,4,0,3
108,23,15/12/2015,225,26,261.306,24,1,1,2,2
109,22,16/12/2015,361,52,261.306,27,1,1,4,8
110,27,11/12/2015,118,10,261.306,28,1,0,0,2
111,19,18/12/2015,246,25,261.306,23,1,0,0,8
112,23,18/12/2015,225,26,261.306,24,1,1,2,2
113,23,06/01/2016,225,26,308.593,24,1,1,2,1
114,19,04/01/2016,118,10,308.593,28,1,0,0,1
115,27,05/01/2016,118,10,308.593,28,1,0,0,1
116,18,05/01/2016,155,12,308.593,25,1,2,0,8
117,27,06/01/2016,225,26,308.593,24,1,1,2,2
118,23,07/01/2016,184,42,308.593,21,1,0,0,2
119,28,07/01/2016,225,26,308.593,24,1,1,2,2
120,27,08/01/2016,225,26,308.593,24,1,1,2,1
121,27,11/01/2016,118,10,308.593,28,1,0,0,2
122,27,12/01/2016,225,26,308.593,24,1,1,2,2
123,27,12/01/2016,118,10,308.593,28,1,0,0,2
124,27,13/01/2016,118,10,308.593,28,1,0,0,2
125,27,14/01/2016,118,10,308.593,28,1,0,0,2
126,27,15/01/2016,118,10,308.593,28,1,0,0,2
127,27,11/01/2016,118,10,308.593,28,1,0,0,2
128,27,12/01/2016,118,10,308.593,28,1,0,0,2
129,18,12/01/2016,179,26,308.593,19,3,0,0,8
130,18,12/01/2016,289,36,308.593,30,1,2,1,8
131,27,13/01/2016,118,10,308.593,28,1,0,0,2
132,23,21/01/2016,184,42,308.593,21,1,0,0,2
133,27,28/01/2016,118,10,308.593,28,1,0,0,2
134,27,25/01/2016,118,10,308.593,28,1,0,0,0
135,23,26/01/2016,225,26,308.593,24,1,1,2,1
136,22,28/01/2016,289,36,308.593,30,1,2,1,3
137,23,05/02/2016,184,42,302.585,21,1,0,0,1
138,1,03/02/2016,246,25,302.585,23,1,0,0,8
139,11,10/02/2016,179,51,302.585,31,1,0,0,8
140,28,11/02/2016,155,12,302.585,25,1,2,0,2
141,23,11/02/2016,189,29,302.585,25,1,2,2,8
142,28,12/02/2016,260,50,302.585,23,1,4,0,2
143,22,12/02/2016,289,36,302.585,30,1,2,1,8
144,11,08/02/2016,388,15,302.585,24,1,0,0,8
145,1,09/02/2016,388,15,302.585,24,1,0,0,8
146,28,15/02/2016,225,26,302.585,24,1,1,2,2
147,23,09/02/2016,225,26,302.585,24,1,1,2,2
148,23,16/02/2016,179,26,302.585,19,3,0,0,1
149,23,23/02/2016,184,42,302.585,21,1,0,0,8
150,25,25/02/2016,225,26,302.585,24,1,1,2,3
151,18,15/02/2016,330,16,302.585,25,2,0,0,8
152,23,16/02/2016,330,16,302.585,25,2,0,0,1
153,23,17/02/2016,225,26,302.585,24,1,1,2,1
154,19,25/02/2016,189,29,302.585,25,1,2,2,8
155,28,01/03/2016,291,50,343.253,23,1,0,0,2
156,19,01/03/2016,260,50,343.253,23,1,4,0,8
157,19,08/03/2016,157,27,343.253,22,1,0,0,3
158,17,15/03/2016,179,22,343.253,22,2,2,0,8
159,22,16/03/2016,291,31,343.253,25,1,1,1,8
160,13,02/03/2016,260,50,343.253,23,1,4,0,8
161,13,03/03/2016,179,26,343.253,19,3,0,0,8
162,14,04/03/2016,248,25,343.253,32,1,2,1,3
163,13,04/03/2016,260,50,343.253,23,1,4,0,40
164,11,07/03/2016,179,22,343.253,22,2,2,0,40
165,1,14/03/2016,155,12,343.253,25,1,2,0,16
166,26,21/03/2016,260,50,343.253,23,1,4,0,16
167,13,22/03/2016,155,12,343.253,25,1,2,0,8
168,6,24/03/2016,289,36,343.253,30,1,2,1,8
169,8,24/03/2016,179,22,343.253,22,2,2,0,8
170,28,25/03/2016,260,50,343.253,23,1,4,0,4
171,23,25/03/2016,225,26,343.253,24,1,1,2,1
172,14,28/03/2016,279,5,343.253,24,1,2,0,8
173,13,29/03/2016,179,51,343.253,31,1,0,0,24
174,23,30/03/2016,225,26,343.253,24,1,1,2,2
175,11,28/03/2016,225,26,343.253,24,1,1,2,8
176,13,28/03/2016,179,26,343.253,19,3,0,0,1
177,11,29/03/2016,225,26,343.253,24,1,1,2,8
178,11,30/03/2016,225,26,343.253,24,1,1,2,16
179,13,30/03/2016,179,51,343.253,31,1,0,0,3
180,14,17/03/2016,279,5,343.253,24,1,2,0,16
181,28,18/03/2016,225,26,343.253,24,1,1,2,2
182,14,25/03/2016,248,25,343.253,32,1,2,1,3
183,28,28/03/2016,225,26,343.253,24,1,1,2,1
184,28,06/04/2016,291,31,326.452,25,1,1,1,1
185,23,13/04/2016,225,26,326.452,24,1,1,2,1
186,28,12/04/2016,155,12,326.452,25,1,2,0,1
187,13,13/04/2016,246,25,326.452,23,1,0,0,24
188,23,14/04/2016,155,12,326.452,25,1,2,0,1
189,28,15/04/2016,225,26,326.452,24,1,1,2,2
190,28,15/04/2016,260,50,326.452,23,1,4,0,4
191,13,06/04/2016,179,51,326.452,31,1,0,0,24
192,23,07/04/2016,118,13,326.452,31,1,1,0,1
193,23,08/04/2016,291,31,326.452,25,1,1,1,3
194,14,08/04/2016,246,25,326.452,23,1,0,0,8
195,28,22/04/2016,291,31,326.452,25,1,1,1,1
196,28,29/04/2016,248,25,326.452,32,1,2,1,8
197,19,29/04/2016,260,50,326.452,23,1,4,0,56
198,19,26/04/2016,289,36,326.452,30,1,2,1,8
199,12,27/04/2016,155,12,326.452,25,1,2,0,24
200,19,27/04/2016,378,49,326.452,21,1,2,4,8
201,13,28/04/2016,289,36,326.452,30,1,2,1,16
202,7,08/04/2016,235,11,326.452,29,3,1,1,3
203,0,04/04/2016,235,29,326.452,33,1,1,5,0
204,13,04/05/2016,289,36,378.884,30,1,2,1,8
205,28,05/05/2016,155,12,378.884,25,1,2,0,2
206,28,02/05/2016,155,12,378.884,25,1,2,0,1
207,18,03/05/2016,179,51,378.884,31,1,0,0,8
208,19,03/05/2016,225,26,378.884,24,1,1,2,8
209,7,11/05/2016,184,42,378.884,21,1,0,0,4
210,28,09/05/2016,155,12,378.884,25,1,2,0,2
211,12,10/05/2016,179,51,378.884,31,1,0,0,1
212,13,04/05/2016,289,36,378.884,30,1,2,1,24
213,0,11/05/2016,279,5,378.884,24,1,2,0,0
214,0,18/05/2016,330,16,378.884,25,2,0,0,0
215,0,25/05/2016,378,49,378.884,21,1,2,4,0
216,0,25/05/2016,388,15,378.884,24,1,0,0,0
217,11,24/05/2016,179,51,378.884,31,1,0,0,1
218,13,11/05/2016,118,13,378.884,31,1,1,0,24
219,22,27/05/2016,361,52,378.884,27,1,1,4,8
220,19,06/06/2016,246,25,377.55,23,1,0,0,8
221,22,13/06/2016,361,52,377.55,27,1,1,4,8
222,10,14/06/2016,246,25,377.55,23,1,0,0,24
223,23,16/06/2016,291,31,377.55,25,1,1,1,4
224,10,17/06/2016,246,25,377.55,23,1,0,0,8
225,11,13/06/2016,179,51,377.55,31,1,0,0,8
226,23,20/06/2016,155,12,377.55,25,1,2,0,4
227,10,27/06/2016,246,25,377.55,23,1,0,0,8
228,13,29/06/2016,118,13,377.55,31,1,1,0,8
229,13,03/06/2016,235,11,377.55,29,3,1,1,16
230,23,07/06/2016,118,13,377.55,31,1,1,0,1
231,13,08/06/2016,118,13,377.55,31,1,1,0,80
232,22,09/06/2016,378,49,377.55,21,1,2,4,8
233,11,10/06/2016,179,51,377.55,31,1,0,0,2
234,28,20/06/2016,289,48,377.55,36,1,0,2,2
235,28,30/06/2016,225,26,377.55,24,1,1,2,2
236,19,05/07/2016,155,12,275.312,25,1,2,0,16
237,1,06/07/2016,118,13,275.312,31,1,1,0,8
238,5,08/07/2016,118,10,275.312,28,1,0,0,8
239,26,08/07/2016,118,10,275.312,28,1,0,0,4
240,26,12/07/2016,330,16,275.312,25,2,0,0,8
241,18,14/07/2016,179,26,275.312,19,3,0,0,8
242,25,15/07/2016,155,12,275.312,25,1,2,0,2
243,1,18/07/2016,330,16,275.312,25,2,0,0,8
244,1,19/07/2016,330,16,275.312,25,2,0,0,8
245,25,18/07/2016,157,27,275.312,22,1,0,0,3
246,22,19/07/2016,361,52,275.312,27,1,1,4,8
247,26,20/07/2016,289,36,275.312,30,1,2,1,8
248,26,21/07/2016,179,51,275.312,31,1,0,0,8
249,19,11/07/2016,289,36,275.312,30,1,2,1,32
250,19,14/07/2016,289,36,275.312,30,1,2,1,8
251,0,21/07/2016,260,50,275.312,23,1,4,0,0
252,19,04/08/2016,289,36,265.615,30,1,2,1,8
253,19,11/08/2016,157,27,265.615,22,1,0,0,3
254,23,07/08/2016,289,36,265.615,30,1,2,1,1
255,18,08/08/2016,228,14,265.615,22,1,2,1,8
256,13,10/08/2016,300,26,265.615,25,1,2,1,1
257,14,10/08/2016,300,26,265.615,25,1,2,1,2
258,28,11/08/2016,260,50,265.615,23,1,4,0,4
259,23,08/08/2016,289,36,265.615,30,1,2,1,4
260,23,09/08/2016,248,25,265.615,32,1,2,1,1
261,11,10/08/2016,268,11,265.615,25,2,0,0,8
262,23,10/08/2016,179,26,265.615,19,3,0,0,1
263,13,10/08/2016,118,13,265.615,31,1,1,0,3
264,25,14/08/2016,248,25,265.615,32,1,2,1,2
265,23,15/08/2016,235,11,265.615,29,3,1,1,1
266,23,17/08/2016,118,13,265.615,31,1,1,0,1
267,19,24/08/2016,235,11,265.615,29,3,1,1,8
268,8,08/08/2016,361,52,265.615,27,1,1,4,8
269,6,30/08/2016,184,42,265.615,21,1,0,0,8
270,11,05/09/2016,179,51,294.217,31,1,0,0,8
271,23,09/09/2016,179,51,294.217,31,1,0,0,3
272,19,07/09/2016,289,36,294.217,30,1,2,1,24
273,0,08/09/2016,235,20,294.217,38,1,1,0,0
274,9,12/09/2016,246,25,294.217,23,1,0,0,16
275,28,13/09/2016,291,31,294.217,25,1,1,1,3
276,0,13/09/2016,231,35,294.217,35,1,2,2,0
277,0,13/09/2016,291,50,294.217,23,1,0,0,0
278,13,14/09/2016,179,51,294.217,31,1,0,0,8
279,9,14/09/2016,246,25,294.217,23,1,0,0,32
280,23,15/09/2016,179,51,294.217,31,1,0,0,1
281,28,16/09/2016,291,31,294.217,25,1,1,1,4
282,28,16/09/2016,260,50,294.217,23,1,4,0,4
283,26,14/09/2016,235,20,294.217,38,1,1,0,8
284,28,15/09/2016,118,13,294.217,31,1,1,0,1
285,0,15/09/2016,235,20,294.217,38,1,1,0,0
286,28,16/09/2016,291,31,294.217,25,1,1,1,3
287,7,26/09/2016,291,31,294.217,25,1,1,1,40
288,13,26/09/2016,179,51,294.217,31,1,0,0,8
289,24,05/10/2016,289,36,265.017,30,1,2,1,8
290,26,05/10/2016,235,11,265.017,29,3,1,1,4
291,26,05/10/2016,289,36,265.017,30,1,2,1,8
292,22,06/10/2016,289,36,265.017,30,1,2,1,8
293,0,06/10/2016,118,13,265.017,31,1,1,0,0
294,0,06/10/2016,248,25,265.017,32,1,2,1,0
295,1,12/10/2016,179,26,265.017,19,3,0,0,8
296,7,12/10/2016,118,10,265.017,28,1,0,0,3
297,22,12/10/2016,369,17,265.017,25,1,3,0,8
298,28,14/10/2016,179,51,265.017,31,1,0,0,1
299,1,14/10/2016,179,26,265.017,19,3,0,0,64
300,0,14/10/2016,235,20,265.017,38,1,1,0,0
301,19,15/10/2016,289,36,265.017,30,1,2,1,16
302,28,16/10/2016,260,50,265.017,23,1,4,0,3
303,0,16/10/2016,235,20,265.017,38,1,1,0,0
304,23,19/10/2016,235,20,265.017,38,1,1,0,2
305,23,19/10/2016,235,20,265.017,38,1,1,0,2
306,28,20/10/2016,118,13,265.017,31,1,1,0,1
307,28,20/10/2016,291,31,265.017,25,1,1,1,4
308,23,22/10/2016,179,26,265.017,19,3,0,0,16
309,28,22/10/2016,118,13,265.017,31,1,1,0,1
310,10,26/10/2016,361,52,265.017,27,1,1,4,8
311,0,27/10/2016,260,50,265.017,23,1,4,0,0
312,0,27/10/2016,291,31,265.017,25,1,1,1,0
313,0,27/10/2016,157,27,265.017,22,1,0,0,0
314,1,28/10/2016,179,26,265.017,19,3,0,0,5
315,7,28/10/2016,179,26,265.017,19,3,0,0,5
316,23,29/10/2016,118,13,265.017,31,1,1,0,1
317,11,07/11/2016,118,10,284.031,28,1,0,0,8
318,23,07/11/2016,248,25,284.031,32,1,2,1,2
319,6,08/11/2016,179,51,284.031,31,1,0,0,8
320,28,11/11/2016,260,50,284.031,23,1,4,0,3
321,23,14/11/2016,291,31,284.031,25,1,1,1,1
322,1,14/11/2016,378,49,284.031,21,1,2,4,8
323,11,14/11/2016,155,12,284.031,25,1,2,0,120
324,26,14/11/2016,235,20,284.031,38,1,1,0,8
325,0,15/11/2016,330,16,284.031,25,2,0,0,0
326,18,16/11/2016,235,11,284.031,29,3,1,1,1
327,11,16/11/2016,118,10,284.031,28,1,0,0,3
328,25,17/11/2016,235,11,284.031,29,3,1,1,2
329,28,17/11/2016,179,51,284.031,31,1,0,0,3
330,13,18/11/2016,246,25,284.031,23,1,0,0,8
331,12,18/11/2016,291,31,284.031,25,1,1,1,4
332,13,21/11/2016,246,25,284.031,23,1,0,0,8
333,28,22/11/2016,179,51,284.031,31,1,0,0,1
334,10,23/11/2016,260,50,284.031,23,1,4,0,8
335,15,25/11/2016,260,50,284.031,23,1,4,0,8
336,0,25/11/2016,378,49,284.031,21,1,2,4,0
337,0,29/11/2016,279,5,284.031,24,1,2,0,0
338,23,24/11/2016,179,51,284.031,31,1,0,0,1
339,12,05/12/2016,225,26,236.629,24,1,1,2,3
340,28,05/12/2016,179,51,236.629,31,1,0,0,2
341,28,05/12/2016,179,51,236.629,31,1,0,0,1
342,23,05/12/2016,235,11,236.629,29,3,1,1,3
343,28,06/12/2016,118,13,236.629,31,1,1,0,1
344,28,09/12/2016,260,50,236.629,23,1,4,0,4
345,4,15/12/2016,246,25,236.629,23,1,0,0,8
346,28,15/12/2016,179,51,236.629,31,1,0,0,1
347,28,16/12/2016,179,51,236.629,31,1,0,0,1
348,23,20/12/2016,179,26,236.629,19,3,0,0,1
