,Reason for Absence,Date,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
349,25,20/12/2016,118,10,236.629,28,1,0,0,8
350,25,22/12/2016,235,11,236.629,29,3,1,1,2
351,28,23/12/2016,179,51,236.629,31,1,0,0,1
352,13,20/12/2016,235,20,236.629,38,1,1,0,8
353,14,20/12/2016,235,11,236.629,29,3,1,1,4
354,26,21/12/2016,260,50,236.629,23,1,4,0,8
355,28,19/12/2016,157,27,236.629,22,1,0,0,2
356,28,19/12/2016,179,51,236.629,31,1,0,0,3
357,19,19/12/2016,289,36,236.629,30,1,2,1,8
358,23,04/01/2017,225,26,330.061,24,1,1,2,5
359,19,09/01/2017,118,10,330.061,28,1,0,0,32
360,23,09/01/2017,155,12,330.061,25,1,2,0,2
361,13,03/01/2017,235,11,330.061,29,3,1,1,1
362,23,03/01/2017,155,12,330.061,25,1,2,0,4
363,26,09/01/2017,289,36,330.061,30,1,2,1,8
364,3,11/01/2017,291,31,330.061,25,1,1,1,8
365,26,16/01/2017,235,20,330.061,38,1,1,0,8
366,26,16/01/2017,118,13,330.061,31,1,1,0,4
367,28,25/01/2017,179,51,330.061,31,1,0,0,1
368,28,27/01/2017,179,51,330.061,31,1,0,0,1
369,28,07/02/2017,118,10,251.818,28,1,0,0,2
370,27,01/02/2017,179,51,251.818,31,1,0,0,3
371,7,01/02/2017,225,26,251.818,24,1,1,2,1
372,22,03/02/2017,289,36,251.818,30,1,2,1,3
373,28,10/02/2017,260,50,251.818,23,1,4,0,3
374,23,17/02/2017,179,51,251.818,31,1,0,0,3
375,27,13/02/2017,179,51,251.818,31,1,0,0,2
376,27,15/02/2017,179,51,251.818,31,1,0,0,3
377,10,16/02/2017,179,51,251.818,31,1,0,0,8
378,26,16/02/2017,246,25,251.818,23,1,0,0,8
379,27,17/02/2017,179,51,251.818,31,1,0,0,3
380,22,13/02/2017,189,29,251.818,25,1,2,2,8
381,27,13/02/2017,179,51,251.818,31,1,0,0,3
382,23,21/02/2017,246,25,251.818,23,1,0,0,2
383,23,21/02/2017,291,31,251.818,25,1,1,1,2
384,11,22/02/2017,157,27,251.818,22,1,0,0,16
385,27,22/02/2017,179,51,251.818,31,1,0,0,3
386,27,24/02/2017,179,51,251.818,31,1,0,0,3
387,10,24/02/2017,246,25,251.818,23,1,0,0,24
388,27,22/02/2017,179,51,251.818,31,1,0,0,3
389,27,24/02/2017,179,51,251.818,31,1,0,0,3
390,18,07/03/2017,118,10,244.387,28,1,0,0,8
391,19,08/03/2017,246,25,244.387,23,1,0,0,16
392,28,10/03/2017,246,25,244.387,23,1,0,0,2
393,28,10/03/2017,260,50,244.387,23,1,4,0,4
394,28,13/03/2017,179,51,244.387,31,1,0,0,2
395,22,13/03/2017,235,11,244.387,29,3,1,1,8
396,22,14/03/2017,179,22,244.387,22,2,2,0,8
397,22,14/03/2017,378,49,244.387,21,1,2,4,8
398,28,20/03/2017,179,51,244.387,31,1,0,0,16
399,22,22/03/2017,361,52,244.387,27,1,1,4,8
400,0,22/03/2017,369,17,244.387,25,1,3,0,0
401,21,23/03/2017,235,11,244.387,29,3,1,1,8
402,23,24/03/2017,118,13,244.387,31,1,1,0,2
403,14,28/03/2017,118,13,244.387,31,1,1,0,3
404,13,29/03/2017,118,13,244.387,31,1,1,0,8
405,0,30/03/2017,235,11,244.387,29,3,1,1,0
406,0,30/03/2017,246,25,244.387,23,1,0,0,0
407,0,30/03/2017,118,13,244.387,31,1,1,0,0
408,28,31/03/2017,179,51,244.387,31,1,0,0,8
409,22,31/03/2017,289,36,244.387,30,1,2,1,8
410,19,27/03/2017,260,50,244.387,23,1,4,0,8
411,28,28/03/2017,246,25,244.387,23,1,0,0,2
412,28,05/04/2017,179,51,239.409,31,1,0,0,4
413,28,07/04/2017,260,50,239.409,23,1,4,0,3
414,26,07/04/2017,330,16,239.409,25,2,0,0,4
415,22,10/04/2017,369,17,239.409,25,1,3,0,4
416,26,10/04/2017,248,25,239.409,32,1,2,1,4
417,23,12/04/2017,330,16,239.409,25,2,0,0,8
418,28,12/04/2017,179,51,239.409,31,1,0,0,8
419,23,17/04/2017,118,13,239.409,31,1,1,0,1
420,13,19/04/2017,118,13,239.409,31,1,1,0,120
421,28,28/04/2017,300,26,239.409,25,1,2,1,8
422,28,28/04/2017,260,50,239.409,23,1,4,0,4
423,28,24/04/2017,179,51,239.409,31,1,0,0,4
424,11,26/04/2017,118,10,239.409,28,1,0,0,2
425,13,01/05/2017,235,20,246.074,38,1,1,0,16
426,23,03/05/2017,248,25,246.074,32,1,2,1,2
427,10,08/05/2017,369,17,246.074,25,1,3,0,8
428,23,10/05/2017,179,26,246.074,19,3,0,0,3
429,28,10/05/2017,179,51,246.074,31,1,0,0,4
430,23,11/05/2017,361,52,246.074,27,1,1,4,1
431,28,12/05/2017,260,50,246.074,23,1,4,0,3
432,11,15/05/2017,179,22,246.074,22,2,2,0,2
433,8,15/05/2017,179,22,246.074,22,2,2,0,3
434,18,17/05/2017,228,14,246.074,22,1,2,1,8
435,25,17/05/2017,225,26,246.074,24,1,1,2,3
436,13,19/05/2017,330,16,246.074,25,2,0,0,8
437,25,22/05/2017,179,26,246.074,19,3,0,0,2
438,28,22/05/2017,118,10,246.074,28,1,0,0,1
439,1,29/05/2017,235,11,246.074,29,3,1,1,8
440,23,31/05/2017,179,26,246.074,19,3,0,0,3
441,23,05/06/2017,118,10,253.957,28,1,0,0,3
442,28,05/06/2017,179,51,253.957,31,1,0,0,3
443,28,06/06/2017,118,10,253.957,28,1,0,0,2
444,23,08/06/2017,225,26,253.957,24,1,1,2,4
445,28,09/06/2017,260,50,253.957,23,1,4,0,4
446,0,09/06/2017,179,51,253.957,31,1,0,0,0
447,13,12/06/2017,291,31,253.957,25,1,1,1,40
448,28,12/06/2017,179,51,253.957,31,1,0,0,24
449,28,13/06/2017,246,25,253.957,23,1,0,0,3
450,28,19/06/2017,179,51,253.957,31,1,0,0,4
451,26,20/06/2017,235,20,253.957,38,1,1,0,8
452,28,26/06/2017,179,51,253.957,31,1,0,0,2
453,23,28/06/2017,225,26,253.957,24,1,1,2,2
454,23,28/06/2017,118,13,253.957,31,1,1,0,2
455,5,28/06/2017,179,51,253.957,31,1,0,0,8
456,21,28/06/2017,179,26,253.957,19,3,0,0,2
457,28,30/06/2017,246,25,253.957,23,1,0,0,2
458,11,27/06/2017,330,16,253.957,25,2,0,0,1
459,13,27/06/2017,235,11,253.957,29,3,1,1,8
460,23,06/07/2017,179,26,230.29,19,3,0,0,2
461,25,06/07/2017,225,26,230.29,24,1,1,2,4
462,13,07/07/2017,260,50,230.29,23,1,4,0,8
463,7,10/07/2017,268,11,230.29,25,2,0,0,8
464,25,14/07/2017,330,16,230.29,25,2,0,0,8
465,26,14/07/2017,118,10,230.29,28,1,0,0,8
466,26,17/07/2017,260,50,230.29,23,1,4,0,4
467,28,18/07/2017,118,10,230.29,28,1,0,0,8
468,15,24/07/2017,300,26,230.29,25,1,2,1,8
469,23,24/07/2017,235,29,230.29,33,1,1,5,1
470,28,25/07/2017,246,25,230.29,23,1,0,0,2
471,9,25/07/2017,225,26,230.29,24,1,1,2,112
472,28,25/07/2017,179,51,230.29,31,1,0,0,1
473,23,28/07/2017,118,13,230.29,31,1,1,0,1
474,22,28/07/2017,361,52,230.29,27,1,1,4,8
475,22,24/07/2017,289,36,230.29,30,1,2,1,8
476,26,24/07/2017,235,20,230.29,38,1,1,0,8
477,28,25/07/2017,246,25,230.29,23,1,0,0,2
478,28,27/07/2017,291,31,230.29,25,1,1,1,1
479,23,27/07/2017,279,5,230.29,24,1,2,0,2
480,25,03/08/2017,179,51,249.797,31,1,0,0,4
481,25,07/08/2017,179,22,249.797,22,2,2,0,1
482,28,08/08/2017,246,25,249.797,23,1,0,0,4
483,28,08/08/2017,118,10,249.797,28,1,0,0,4
484,26,08/08/2017,289,36,249.797,30,1,2,1,8
485,26,08/08/2017,235,20,249.797,38,1,1,0,8
486,28,10/08/2017,291,31,249.797,25,1,1,1,4
487,25,14/08/2017,179,51,249.797,31,1,0,0,4
488,25,15/08/2017,179,22,249.797,22,2,2,0,8
489,23,17/08/2017,330,16,249.797,25,2,0,0,16
490,23,22/08/2017,235,11,249.797,29,3,1,1,4
491,28,22/08/2017,246,25,249.797,23,1,0,0,1
492,28,22/08/2017,118,10,249.797,28,1,0,0,5
493,28,24/08/2017,291,31,249.797,25,1,1,1,2
494,28,28/08/2017,260,50,249.797,23,1,4,0,3
495,28,05/09/2017,246,25,261.756,23,1,0,0,1
496,28,05/09/2017,246,25,261.756,23,1,0,0,1
497,28,05/09/2017,118,10,261.756,28,1,0,0,3
498,23,05/09/2017,155,12,261.756,25,1,2,0,2
499,28,07/09/2017,291,31,261.756,25,1,1,1,2
500,23,08/09/2017,179,26,261.756,19,3,0,0,8
501,23,08/09/2017,248,25,261.756,32,1,2,1,1
502,23,11/09/2017,179,51,261.756,31,1,0,0,4
503,23,13/09/2017,225,26,261.756,24,1,1,2,1
504,23,18/09/2017,179,26,261.756,19,3,0,0,2
505,23,19/09/2017,369,17,261.756,25,1,3,0,8
506,22,26/09/2017,361,52,261.756,27,1,1,4,8
507,4,05/10/2017,289,48,284.853,36,1,0,2,1
508,11,05/10/2017,235,16,284.853,25,3,0,0,3
509,26,06/10/2017,246,25,284.853,23,1,0,0,8
510,14,11/10/2017,289,48,284.853,36,1,0,2,3
511,28,11/10/2017,291,31,284.853,25,1,1,1,2
512,23,17/10/2017,118,10,284.853,28,1,0,0,2
513,23,19/10/2017,289,48,284.853,36,1,0,2,2
514,23,20/10/2017,291,31,284.853,25,1,1,1,1
515,23,24/10/2017,225,26,284.853,24,1,1,2,2
516,23,24/10/2017,369,17,284.853,25,1,3,0,8
517,23,24/10/2017,369,17,284.853,25,1,3,0,3
518,23,24/10/2017,225,26,284.853,24,1,1,2,4
519,26,24/10/2017,369,17,284.853,25,1,3,0,8
520,28,25/10/2017,179,51,284.853,31,1,0,0,3
521,1,25/10/2017,228,14,284.853,22,1,2,1,1
522,23,25/10/2017,291,31,284.853,25,1,1,1,1
523,10,26/10/2017,369,17,284.853,25,1,3,0,8
524,13,26/10/2017,225,26,284.853,24,1,1,2,1
525,10,27/10/2017,369,17,284.853,25,1,3,0,8
526,10,27/10/2017,225,26,284.853,24,1,1,2,3
527,23,29/10/2017,189,29,284.853,25,1,2,2,8
528,6,29/10/2017,235,16,284.853,25,3,0,0,8
529,10,29/10/2017,248,25,284.853,32,1,2,1,8
530,0,29/10/2017,225,26,284.853,24,1,1,2,0
531,13,31/10/2017,225,26,284.853,24,1,1,2,3
532,21,07/11/2017,179,51,268.519,31,1,0,0,1
533,28,08/11/2017,118,10,268.519,28,1,0,0,3
534,2,08/11/2017,330,16,268.519,25,2,0,0,24
535,28,10/11/2017,179,51,268.519,31,1,0,0,1
536,9,14/11/2017,118,10,268.519,28,1,0,0,8
537,24,15/11/2017,289,36,268.519,30,1,2,1,8
538,1,17/11/2017,235,16,268.519,25,3,0,0,8
539,23,17/11/2017,225,26,268.519,24,1,1,2,4
540,22,21/11/2017,361,52,268.519,27,1,1,4,8
541,28,22/11/2017,291,31,268.519,25,1,1,1,2
542,13,23/11/2017,118,10,268.519,28,1,0,0,2
543,14,23/11/2017,225,26,268.519,24,1,1,2,3
544,28,27/11/2017,179,51,268.519,31,1,0,0,1
545,23,27/11/2017,118,10,268.519,28,1,0,0,8
546,8,28/11/2017,118,10,268.519,28,1,0,0,8
547,23,28/11/2017,225,26,268.519,24,1,1,2,2
548,0,28/11/2017,291,31,268.519,25,1,1,1,0
549,0,29/11/2017,289,36,268.519,30,1,2,1,0
550,14,30/11/2017,248,25,268.519,32,1,2,1,4
551,0,30/11/2017,235,20,268.519,38,1,1,0,0
552,23,24/11/2017,225,26,268.519,24,1,1,2,2
553,26,24/11/2017,369,17,268.519,25,1,3,0,8
554,28,27/11/2017,361,52,268.519,27,1,1,4,2
555,13,05/12/2017,179,51,280.549,31,1,0,0,32
556,28,06/12/2017,291,31,280.549,25,1,1,1,1
557,23,06/12/2017,225,26,280.549,24,1,1,2,3
558,13,08/12/2017,179,26,280.549,19,3,0,0,1
559,23,08/12/2017,225,26,280.549,24,1,1,2,3
560,23,13/12/2017,225,26,280.549,24,1,1,2,3
561,14,14/12/2017,361,52,280.549,27,1,1,4,4
562,18,15/12/2017,179,22,280.549,22,2,2,0,2
563,26,15/12/2017,235,20,280.549,38,1,1,0,8
564,18,18/12/2017,233,51,280.549,21,2,1,8,8
565,13,19/12/2017,179,26,280.549,19,3,0,0,16
566,23,19/12/2017,225,26,280.549,24,1,1,2,2
567,23,21/12/2017,225,26,280.549,24,1,1,2,3
568,23,18/12/2017,225,26,280.549,24,1,1,2,2
569,18,19/12/2017,155,12,280.549,25,1,2,0,80
570,12,01/01/2018,179,26,313.532,19,3,0,0,24
571,12,04/01/2018,179,26,313.532,19,3,0,0,16
572,25,04/01/2018,179,22,313.532,22,2,2,0,2
573,25,05/01/2018,179,22,313.532,22,2,2,0,2
574,13,08/01/2018,179,26,313.532,19,3,0,0,3
575,25,10/01/2018,179,22,313.532,22,2,2,0,2
576,10,11/01/2018,289,48,313.532,36,1,0,2,8
577,18,12/01/2018,179,22,313.532,22,2,2,0,3
578,27,15/01/2018,179,26,313.532,19,3,0,0,2
579,18,16/01/2018,155,12,313.532,25,1,2,0,8
580,27,17/01/2018,179,26,313.532,19,3,0,0,2
581,27,17/01/2018,179,51,313.532,31,1,0,0,3
582,13,17/01/2018,289,36,313.532,30,1,2,1,8
583,27,18/01/2018,179,51,313.532,31,1,0,0,3
584,27,26/01/2018,179,51,313.532,31,1,0,0,2
585,13,06/02/2018,179,51,264.249,31,1,0,0,8
586,23,06/02/2018,225,26,264.249,24,1,1,2,3
587,1,07/02/2018,248,25,264.249,32,1,2,1,8
588,27,07/02/2018,179,51,264.249,31,1,0,0,2
589,28,08/02/2018,225,26,264.249,24,1,1,2,3
590,27,08/02/2018,179,51,264.249,31,1,0,0,2
591,27,08/02/2018,179,26,264.249,19,3,0,0,2
592,28,09/02/2018,225,15,264.249,28,4,2,2,2
593,27,09/02/2018,179,51,264.249,31,1,0,0,2
594,19,12/02/2018,233,51,264.249,21,2,1,8,2
595,27,12/02/2018,179,51,264.249,31,1,0,0,2
596,7,13/02/2018,225,26,264.249,24,1,1,2,8
597,27,14/02/2018,179,51,264.249,31,1,0,0,3
598,27,15/02/2018,179,51,264.249,31,1,0,0,3
599,25,15/02/2018,225,26,264.249,24,1,1,2,3
600,13,15/02/2018,179,26,264.249,19,3,0,0,2
601,23,16/02/2018,179,22,264.249,22,2,2,0,2
602,27,16/02/2018,179,51,264.249,31,1,0,0,3
603,12,21/02/2018,233,51,264.249,21,2,1,8,3
604,27,21/02/2018,179,26,264.249,19,3,0,0,2
605,27,21/02/2018,179,51,264.249,31,1,0,0,2
606,13,22/02/2018,179,51,264.249,31,1,0,0,8
607,27,23/02/2018,179,51,264.249,31,1,0,0,2
608,25,26/02/2018,155,12,264.249,25,1,2,0,5
609,25,26/02/2018,235,16,264.249,25,3,0,0,3
610,27,26/02/2018,179,51,264.249,31,1,0,0,2
611,7,26/02/2018,225,26,264.249,24,1,1,2,2
612,27,27/02/2018,179,51,264.249,31,1,0,0,2
613,23,27/02/2018,248,25,264.249,32,1,2,1,2
614,25,27/02/2018,225,26,264.249,24,1,1,2,2
615,27,28/02/2018,179,51,264.249,31,1,0,0,2
616,27,22/02/2018,179,51,264.249,31,1,0,0,2
617,25,23/02/2018,235,16,264.249,25,3,0,0,2
618,27,05/03/2018,179,51,222.196,31,1,0,0,2
619,23,05/03/2018,248,25,222.196,32,1,2,1,2
620,25,06/03/2018,228,14,222.196,22,1,2,1,3
621,25,06/03/2018,248,25,222.196,32,1,2,1,3
622,12,06/03/2018,228,14,222.196,22,1,2,1,112
623,27,07/03/2018,179,51,222.196,31,1,0,0,2
624,27,08/03/2018,225,26,222.196,24,1,1,2,2
625,27,08/03/2018,179,51,222.196,31,1,0,0,3
626,25,08/03/2018,225,26,222.196,24,1,1,2,2
627,27,09/03/2018,179,26,222.196,19,3,0,0,3
628,25,12/03/2018,235,16,222.196,25,3,0,0,3
629,19,12/03/2018,361,52,222.196,27,1,1,4,8
630,13,13/03/2018,179,51,222.196,31,1,0,0,8
631,27,14/03/2018,179,51,222.196,31,1,0,0,2
632,27,15/03/2018,179,51,222.196,31,1,0,0,3
633,27,16/03/2018,179,26,222.196,19,3,0,0,2
634,10,19/03/2018,179,51,222.196,31,1,0,0,4
635,13,19/03/2018,248,25,222.196,32,1,2,1,2
636,27,19/03/2018,179,51,222.196,31,1,0,0,3
637,7,19/03/2018,225,26,222.196,24,1,1,2,8
638,27,20/03/2018,179,51,222.196,31,1,0,0,2
639,23,21/03/2018,289,36,222.196,30,1,2,1,8
640,25,21/03/2018,228,14,222.196,22,1,2,1,2
641,27,21/03/2018,179,51,222.196,31,1,0,0,2
642,23,22/03/2018,248,25,222.196,32,1,2,1,3
643,27,22/03/2018,179,51,222.196,31,1,0,0,3
644,23,23/03/2018,179,26,222.196,19,3,0,0,2
645,27,23/03/2018,179,51,222.196,31,1,0,0,3
646,27,27/03/2018,179,51,222.196,31,1,0,0,3
647,23,28/03/2018,118,15,222.196,25,1,2,0,8
648,13,28/03/2018,155,12,222.196,25,1,2,0,24
649,27,28/03/2018,179,51,222.196,31,1,0,0,3
650,27,29/03/2018,179,51,222.196,31,1,0,0,3
651,13,26/03/2018,179,26,222.196,19,3,0,0,2
652,19,26/03/2018,289,36,222.196,30,1,2,1,104
653,22,28/03/2018,369,17,222.196,25,1,3,0,8
654,13,02/04/2018,225,26,246.288,24,1,1,2,8
655,10,02/04/2018,118,10,246.288,28,1,0,0,8
656,19,03/04/2018,361,52,246.288,27,1,1,4,8
657,19,04/04/2018,248,25,246.288,32,1,2,1,8
658,13,05/04/2018,189,29,246.288,25,1,2,2,8
659,27,06/04/2018,179,26,246.288,19,3,0,0,2
660,7,09/04/2018,369,17,246.288,25,1,3,0,24
661,16,10/04/2018,179,22,246.288,22,2,2,0,2
662,23,10/04/2018,118,13,246.288,31,1,1,0,3
663,23,10/04/2018,361,52,246.288,27,1,1,4,2
664,10,11/04/2018,118,10,246.288,28,1,0,0,2
665,22,13/04/2018,235,11,246.288,29,3,1,1,8
666,27,13/04/2018,179,26,246.288,19,3,0,0,2
667,19,16/04/2018,225,26,246.288,24,1,1,2,8
668,16,17/04/2018,235,16,246.288,25,3,0,0,3
669,27,20/04/2018,179,26,246.288,19,3,0,0,2
670,28,24/04/2018,155,12,246.288,25,1,2,0,4
671,19,26/04/2018,225,26,246.288,24,1,1,2,8
672,14,26/04/2018,118,13,246.288,31,1,1,0,2
673,27,27/04/2018,179,26,246.288,19,3,0,0,2
674,22,07/05/2018,235,11,237.656,29,3,1,1,8
675,19,09/05/2018,225,15,237.656,28,4,2,2,3
676,28,09/05/2018,235,16,237.656,25,3,0,0,2
677,8,09/05/2018,118,10,237.656,28,1,0,0,3
678,26,09/05/2018,235,20,237.656,38,1,1,0,8
679,13,10/05/2018,179,26,237.656,19,3,0,0,1
680,28,10/05/2018,291,31,237.656,25,1,1,1,2
681,14,10/05/2018,225,15,237.656,28,4,2,2,8
682,19,11/05/2018,300,26,237.656,25,1,2,1,64
683,22,11/05/2018,225,15,237.656,28,4,2,2,8
684,27,11/05/2018,179,26,237.656,19,3,0,0,2
685,23,14/05/2018,118,13,237.656,31,1,1,0,2
686,5,15/05/2018,118,13,237.656,31,1,1,0,3
687,28,15/05/2018,118,10,237.656,28,1,0,0,1
688,0,15/05/2018,118,13,237.656,31,1,1,0,0
689,27,16/05/2018,179,26,237.656,19,3,0,0,2
690,0,16/05/2018,378,49,237.656,21,1,2,4,0
691,16,18/05/2018,179,22,237.656,22,2,2,0,1
692,10,21/05/2018,155,12,237.656,25,1,2,0,48
693,10,21/05/2018,235,16,237.656,25,3,0,0,8
694,22,23/05/2018,291,31,237.656,25,1,1,1,8
695,10,23/05/2018,179,22,237.656,22,2,2,0,8
696,6,23/05/2018,225,26,237.656,24,1,1,2,3
697,10,24/05/2018,330,16,237.656,25,2,0,0,8
698,23,24/05/2018,235,16,237.656,25,3,0,0,2
699,28,31/05/2018,291,31,237.656,25,1,1,1,2
